Libraries,Statistics,Basic maths,supervised algorithms,unsupervised algorithms,semi-supervised algorithms,reinforced algorithm,ML score
0,1,1,0,1,0,0,75.72
0,0,1,1,1,1,1,77.75
1,1,1,0,1,0,0,78.55
1,1,0,1,0,1,1,72.69
1,0,0,1,1,1,1,81.31
1,1,0,0,0,0,1,77.87
1,1,1,0,0,0,1,79.71
0,0,0,1,1,0,1,77.05
0,1,0,0,0,0,1,80.53
1,0,1,0,0,1,0,75.05
0,1,0,1,0,0,0,79.37
1,0,1,0,1,0,0,81.51
0,1,1,0,0,0,1,80.09
1,0,1,0,0,1,0,71.76
0,0,0,0,0,1,0,66.82
0,1,0,1,0,0,0,79.75
0,0,1,1,1,0,0,66.88
0,1,1,1,1,0,1,74.07
1,0,1,0,0,0,0,79.48
1,1,1,1,1,0,0,82.56
0,1,0,1,0,1,0,72.87
0,0,1,0,1,1,0,80.44
0,0,1,1,1,1,0,71.33
1,0,1,0,1,0,1,77.49
1,0,0,1,0,0,1,79.75
0,1,0,1,0,0,1,82.06
1,0,1,1,1,1,1,83.41
0,0,1,0,0,1,0,77.16
1,1,0,1,0,1,1,86.36
0,0,1,0,0,1,1,71.9
1,0,0,1,0,1,1,73.25
0,0,1,1,1,1,1,80.64
0,0,1,0,0,1,1,73.17
1,1,1,0,1,1,1,67.89
1,1,0,1,0,0,1,85.17
0,0,0,0,0,0,0,78.9
1,1,0,0,0,0,1,82.45
0,1,0,0,0,0,1,77.74
1,0,0,0,0,1,0,79.16
1,0,1,0,1,1,1,75.47
0,1,0,1,1,0,0,79.3
1,0,1,0,0,0,1,76.07
1,1,1,1,1,1,1,82.66
0,1,1,1,1,0,0,74.23
1,1,0,1,0,1,0,75.09
0,0,0,1,1,0,0,78.83
0,1,1,1,0,1,1,79.55
0,1,1,1,0,0,0,84.47
0,1,0,1,0,0,0,70.35
0,0,1,1,1,0,0,76.49
0,1,1,0,0,0,1,78.33
1,0,1,1,1,0,0,72.59
0,1,1,0,0,0,1,74.09
1,1,0,1,0,0,0,67.29
0,0,0,0,1,1,0,79.82
1,1,1,1,0,1,0,79.1
0,0,1,1,1,1,1,82.58
0,0,1,0,1,1,0,77.29
0,0,0,1,0,0,0,77.36
0,0,0,0,1,0,1,79.88
1,1,0,0,1,1,1,74.55
0,0,1,0,1,0,0,81.78
1,1,1,0,0,1,0,79.74
0,0,1,1,1,1,1,77.64
1,0,0,1,0,1,0,77.81
0,1,1,0,0,1,0,80.74
0,0,1,0,0,1,0,74.86
1,1,0,0,0,0,0,75.95
0,1,0,0,0,1,0,86.06
0,0,1,0,0,1,0,76.47
0,1,1,1,0,1,0,72.02
0,0,1,1,1,0,0,70.19
0,1,0,1,1,1,1,74.75
1,1,0,0,0,0,0,73.16
1,0,0,1,0,0,0,75.18
0,0,1,1,1,1,1,80.55
1,1,0,0,1,0,1,84.11
1,0,0,1,0,1,1,75.67
0,1,0,0,1,0,0,81.27
1,0,0,0,1,0,0,72.15
0,0,1,1,0,0,0,78.13
1,0,1,1,1,1,0,83.02
1,1,0,0,1,1,1,73.62
1,0,1,1,0,1,1,80.2
1,1,1,1,1,0,1,79.05
1,1,0,1,1,0,1,79.84
0,1,1,0,1,1,0,75.64
1,0,0,1,1,0,0,75.91
1,0,0,0,1,1,0,79.03
0,1,1,1,1,1,1,87.56
1,0,1,0,0,1,1,83.38
0,1,0,0,1,0,0,74.89
0,1,1,1,0,0,0,75.03
0,0,0,1,0,1,1,78.37
1,0,0,1,1,0,1,83.02
1,0,1,0,0,1,1,75.44
0,0,0,0,0,0,1,70.34
0,0,1,0,1,1,0,80.88
0,1,0,0,0,1,0,71.18
0,1,1,1,0,0,1,79.2
1,1,1,0,1,1,1,80.89
0,0,1,1,1,0,1,81.37
0,0,1,0,1,0,1,76.9
1,0,1,0,0,1,1,79.85
1,0,0,1,0,0,0,69.68
0,1,1,1,1,0,0,75.95
1,1,0,0,1,0,0,73.77
0,0,1,1,0,1,1,72.79
1,0,0,1,1,0,1,78.81
1,1,1,1,0,1,1,89.54
0,0,0,1,1,0,0,79.48
0,1,1,0,1,0,0,84.25
1,1,1,1,1,1,0,74.49
1,1,0,0,1,0,1,80.41
1,1,0,1,0,1,1,79.72
0,1,1,0,0,0,1,72.38
1,0,1,0,0,1,0,83.35
0,0,1,0,1,0,1,81.68
0,0,1,0,1,0,0,64.88
1,1,1,1,1,1,1,70.28
1,0,0,0,1,1,1,71.7
0,0,1,1,0,0,1,80.28
0,0,0,1,0,1,0,83.68
1,1,1,0,1,1,0,74.1
1,1,0,1,1,1,1,80.41
1,1,1,1,1,0,1,82.86
0,1,0,1,0,1,1,71.73
0,1,1,1,0,1,1,81.98
1,0,1,0,0,1,0,80.74
0,1,0,1,0,1,1,77.92
1,0,1,0,1,0,0,78.73
0,0,0,1,0,0,0,79.44
1,0,0,0,1,0,0,83.88
0,1,1,0,0,1,1,74.99
1,0,1,1,1,1,0,77.0
0,1,1,0,0,0,0,77.25
1,0,1,0,1,1,1,72.01
0,0,0,0,1,0,0,72.93
